buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
14050.0,281.0,100.0,16.0,2.933162423153078,28100,14050.0,2853.4289453029633
14100.0,282.0,100.0,11.0,11.290407894701778,28200,14100.0,2862.2860221862793
14150.0,283.0,100.0,13.0,11.275062581604878,28300,14150.0,2871.155153989792
14200.0,284.0,100.0,12.0,11.257557604308783,28400,14200.0,2880.0380766391754
14250.0,285.0,100.0,10.0,11.570221214650557,28500,14250.0,2888.6809549331665
14300.0,286.0,100.0,0.0,11.248501783485093,28600,14300.0,2897.571029186249
14350.0,287.0,100.0,6.0,11.462917239827924,28700,14350.0,2906.2948126792908
14400.0,288.0,100.0,18.0,11.335372525529563,28800,14400.0,2915.1167557239532
14450.0,289.0,100.0,13.0,11.376909325552242,28900,14450.0,2923.906490802765
14500.0,290.0,100.0,0.0,11.566225297599138,29000,14500.0,2932.552354812622
14550.0,291.0,100.0,11.0,11.22148937646243,29100,14550.0,2941.4638290405273
14600.0,292.0,100.0,10.0,11.320891404028336,29200,14600.0,2950.2970571517944
14650.0,293.0,100.0,16.0,11.507311826151552,29300,14650.0,2958.9871854782104
14700.0,294.0,100.0,15.0,11.121345743332377,29400,14700.0,2967.978904247284
14750.0,295.0,100.0,11.0,11.179591735122266,29500,14750.0,2976.9237763881683
14800.0,296.0,100.0,12.0,11.475302596762498,29600,14800.0,2985.63814496994
14850.0,297.0,100.0,13.0,11.31279396399108,29700,14850.0,2994.4776949882507
14900.0,298.0,100.0,15.0,11.424146847771393,29800,14900.0,3003.231085538864
14950.0,299.0,100.0,0.0,10.932075653655033,29900,14950.0,3012.3784804344177
15000.0,300.0,100.0,14.0,11.170222058785304,30000,15000.0,3021.330855369568
15050.0,301.0,100.0,11.0,2.9168510342446523,30100,15050.0,3055.614403486252
15100.0,302.0,100.0,10.0,11.335761291467461,30200,15100.0,3064.4360444545746
15150.0,303.0,100.0,10.0,11.520245501325487,30300,15150.0,3073.116416454315
15200.0,304.0,100.0,16.0,11.213285234660153,30400,15200.0,3082.0344109535217
15250.0,305.0,100.0,17.0,11.603867476285313,30500,15250.0,3090.652228832245
15300.0,306.0,100.0,15.0,11.003318411721835,30600,15300.0,3099.7403972148895
15350.0,307.0,100.0,13.0,11.276922979305201,30700,15350.0,3108.6080656051636
15400.0,308.0,100.0,16.0,11.22752285822484,30800,15400.0,3117.5147511959076
15450.0,309.0,100.0,14.0,11.14731170461563,30900,15450.0,3126.485524892807
15500.0,310.0,100.0,13.0,10.80203410686929,31000,15500.0,3135.7430419921875
15550.0,311.0,100.0,15.0,11.370471669855581,31100,15550.0,3144.5377531051636
15600.0,312.0,100.0,18.0,11.206162440333982,31200,15600.0,3153.4614157676697
15650.0,313.0,100.0,0.0,10.958682490825709,31300,15650.0,3162.586601495743
15700.0,314.0,100.0,12.0,11.54017004641569,31400,15700.0,3171.2519862651825
15750.0,315.0,100.0,14.0,11.484225872381275,31500,15750.0,3179.9595835208893
15800.0,316.0,100.0,15.0,11.763202634945904,31600,15800.0,3188.4606709480286
15850.0,317.0,100.0,17.0,11.598836229361673,31700,15850.0,3197.0822265148163
15900.0,318.0,100.0,11.0,11.28996965899253,31800,15900.0,3205.939647912979
15950.0,319.0,100.0,11.0,11.514478159751887,31900,15950.0,3214.624367713928
16000.0,320.0,100.0,17.0,11.607826163123525,32000,16000.0,3223.239246606827
16050.0,321.0,100.0,10.0,2.9195466619303923,32100,16050.0,3257.491140604019
16100.0,322.0,100.0,12.0,11.568202491203122,32200,16100.0,3266.135527610779
16150.0,323.0,100.0,13.0,11.371779706905896,32300,16150.0,3274.9292271137238
16200.0,324.0,100.0,0.0,11.357671396610709,32400,16200.0,3283.733850002289
16250.0,325.0,100.0,14.0,11.34461269624399,32500,16250.0,3292.548607826233
16300.0,326.0,100.0,14.0,11.256051265692017,32600,16300.0,3301.432719707489
16350.0,327.0,100.0,10.0,11.498080310654844,32700,16350.0,3310.1298248767853
16400.0,328.0,100.0,12.0,11.507912337245081,32800,16400.0,3318.819500207901
16450.0,329.0,100.0,0.0,11.15613256355037,32900,16450.0,3327.7831814289093
16500.0,330.0,100.0,13.0,10.926872943642003,33000,16500.0,3336.934931755066
16550.0,331.0,100.0,7.0,11.104795139322247,33100,16550.0,3345.940051794052
16600.0,332.0,100.0,9.0,11.131558773701117,33200,16600.0,3354.92352104187
16650.0,333.0,100.0,11.0,11.443359177517289,33300,16650.0,3363.662215232849
16700.0,334.0,100.0,17.0,11.622096220933946,33400,16700.0,3372.2665164470673
16750.0,335.0,100.0,16.0,11.534947381048564,33500,16750.0,3380.9358248710632
